"city","state","total_orders","total_sales"
"rio de janeiro","RJ","2185492","278275519.67020327"
"sao paulo","SP","1333178","145463898.52959725"
"belo horizonte","MG","850346","96250441.62972549"
"niteroi","RJ","455864","55706510.79002084"
"curitiba","PR","295003","34607051.10003126"
"santos","SP","276943","32760511.45003007"
"porto alegre","RS","265514","31694031.13002917"
"salvador","BA","181869","26276028.300014626"
"são paulo","SP","238141","26127222.670022417"
"campinas","SP","196601","22192499.48001472"
"uberlandia","MG","177556","20950607.39001037"
"divinopolis","MG","93691","17357056.850003615"
"santo andre","SP","158631","16433592.10000748"
"sao bernardo do campo","SP","161548","15867687.980006939"
"guarulhos","SP","144089","15305090.40000502"
"florianopolis","SC","112848","14649564.970003096"
"montes claros","MG","119656","14432720.100002415"
"vila velha","ES","110166","13918237.650001839"
"jundiai","SP","106723","13840553.78000189"
"ipatinga","MG","120964","12939715.070000425"
"araruama","RJ","66127","12778998.170000747"
"vitoria","ES","104513","12592492.170000123"
"sao jose dos campos","SP","111101","11107513.359999673"
"praia grande","SP","93112","10874685.059999688"
"juiz de fora","MG","81935","10670087.970000116"
"recife","PE","79084","10431370.309999686"
"brasilia","DF","83381","10323852.630000047"
"barueri","SP","88896","10042055.659999087"
"ribeirao preto","SP","89397","10032404.959999206"
"sorocaba","SP","89620","9619783.829999655"
"vicosa","MG","61385","9570304.269999316"
"sete lagoas","MG","71462","9351016.829999115"
"osasco","SP","96617","9337001.169999093"
"lavras","MG","66025","9241936.249999873"
"mogi das cruzes","SP","66922","8932231.389999736"
"niterói","RJ","69223","8432170.899999324"
"maua","SP","66449","8103672.739999646"
"belem","PA","44424","7881610.609999631"
"ubatuba","SP","76473","7823829.569999639"
"itanhaem","SP","70914","7028674.559999447"
"pocos de caldas","MG","63253","6855571.669999605"
"balneario camboriu","SC","49102","6728590.859999462"
"londrina","PR","45083","6706799.679999355"
"goiania","GO","42754","6487400.129999459"
"campos dos goytacazes","RJ","46704","6472993.649999299"
"nova iguacu","RJ","46243","6419082.299999524"
"conselheiro lafaiete","MG","55494","6102083.119999326"
"franca","SP","53861","6036171.079999398"
"santa maria","RS","42064","6018257.479999256"
"sao caetano do sul","SP","55572","5921789.739999304"
"fortaleza","CE","41635","5890790.839999453"
"indaiatuba","SP","54342","5873708.339999424"
"pouso alegre","MG","42473","5820426.889999533"
"contagem","MG","50333","5748682.57999954"
"bertioga","SP","31906","5731371.1000002"
"maringa","PR","44535","5658184.419999369"
"paracatu","MG","50358","5513488.139999443"
"piracicaba","SP","43937","5458886.349999314"
"itabira","MG","53948","5400822.699999561"
"maceio","AL","27426","5347713.679999676"
"araraquara","SP","42828","5285901.619999522"
"rio claro","SP","45681","5176941.849999422"
"porto seguro","BA","20166","5166973.139999847"
"diadema","SP","54964","5164018.059999289"
"campo grande","MS","32804","5153751.009999606"
"sao carlos","SP","42741","5124741.269999444"
"bauru","SP","34740","5066614.9199996255"
"sao jose do rio preto","SP","40118","5009211.529999554"
"rio das ostras","RJ","36758","4747628.279999625"
"mairipora","SP","42247","4625476.419999696"
"sao luis","MA","33058","4562394.26999974"
"lagoa santa","MG","34584","4402108.279999961"
"jaguariuna","SP","36224","4232771.829999768"
"manhuacu","MG","38532","4203939.999999794"
"caratinga","MG","29255","4169026.299999777"
"sao goncalo","RJ","34804","4098782.1999997958"
"uberlândia","MG","34008","4067728.479999843"
"itaperuna","RJ","31432","4053382.4399997117"
"sao vicente","SP","34365","3904968.6699998192"
"patos de minas","MG","22660","3862249.629999946"
"cotia","SP","35362","3860884.4999999246"
"cuiaba","MT","26290","3812378.0799999447"
"pelotas","RS","34528","3811995.9599998714"
"passo fundo","RS","28410","3795784.999999889"
"joinville","SC","29805","3778466.679999926"
"taboao da serra","SP","36585","3707009.729999916"
"serra","ES","32792","3669749.109999981"
"ouro preto","MG","34724","3668395.969999931"
"boituva","SP","27440","3631904.4999999604"
"unai","MG","30324","3631107.47999997"
"caxias do sul","RS","28449","3578172.8299998986"
"guaruja","SP","32783","3532319.439999831"
"videira","SC","23715","3495877.549999928"
"nova serrana","MG","25288","3425329.360000023"
"limeira","SP","33020","3425168.019999998"
"joao pessoa","PB","17689","3368466.08999997"
"ponte nova","MG","22082","3352561.0000000466"
"fernandopolis","SP","25694","3298161.5799998576"
"macae","RJ","27014","3246287.7799999523"
"cascavel","PR","21925","3166252.120000081"
"canoas","RS","26585","3156613.2099999604"
"carapicuiba","SP","36713","3127944.1300001023"
"nova friburgo","RJ","18536","3124927.320000023"
"registro","SP","24750","3112792.649999924"
"hortolandia","SP","28213","3104695.8100000727"
"teresina","PI","17445","3095938.869999967"
"taubate","SP","32023","3075706.990000124"
"paulinia","SP","25920","3072724.3900000583"
"vespasiano","MG","24353","3067777.229999874"
"santana de parnaiba","SP","28426","3021243.89000012"
"são bernardo do campo","SP","29813","2969863.3900001096"
"betim","MG","22976","2967229.6800000174"
"rio grande","RS","21179","2965779.320000084"
"petropolis","RJ","25299","2927103.4100000784"
"itapema","SC","22656","2883858.6400000392"
"sao jose","SC","27932","2881855.040000078"
"santo andré","SP","27612","2881060.4100001017"
"peruibe","SP","27456","2866157.5800000303"
"volta redonda","RJ","20905","2809900.250000004"
"governador valadares","MG","24404","2796802.980000003"
"luis eduardo magalhaes","BA","14405","2795196.4499999336"
"duque de caxias","RJ","25088","2787390.5200000824"
"marilia","SP","18313","2785302.420000053"
"florianópolis","SC","21806","2784453.0700000757"
"primavera do leste","MT","13826","2779833.260000053"
"aracaju","SE","19135","2751483.260000049"
"divinópolis","MG","15370","2727957.870000082"
"suzano","SP","27229","2684189.4500001012"
"sumare","SP","25914","2670889.7000000784"
"curvelo","MG","24050","2665221.0000000624"
"nova lima","MG","13959","2659310.039999952"
"barbacena","MG","18415","2627964.1999999955"
"itajai","SC","15051","2518332.910000059"
"vargem grande paulista","SP","21119","2514260.0500000156"
"porto velho","RO","14712","2509570.610000035"
"atibaia","SP","20002","2430686.5600000517"
"itauna","MG","19632","2397884.240000125"
"ijui","RS","28314","2395729.050000059"
"jundiaí","SP","18440","2391235.14000007"
"pirapora","MG","17199","2387877.570000026"
"americana","SP","25623","2361461.6300000986"
"paracambi","RJ","12816","2339617.7599998917"
"brasília","DF","18239","2318142.64000006"
"embu-guacu","SP","21033","2304286.9199998435"
"birigui","SP","14886","2284534.170000043"
"presidente prudente","SP","14277","2269875.0700000743"
"uberaba","MG","15668","2263730.7000000468"
"mariana","MG","17068","2217123.1600000104"
"mirassol","SP","11625","2194083.750000078"
"itapevi","SP","23081","2176875.8600000637"
"blumenau","SC","19739","2105755.520000071"
"itajuba","MG","17104","2074470.7000000656"
"guaiba","RS","14134","2069488.8199999041"
"araxa","MG","14280","2054833.170000073"
"itabirito","MG","13332","2051564.5200000685"
"artur nogueira","SP","17000","2050091.2000000658"
"embu das artes","SP","16992","2046681.6500000514"
"araras","SP","16869","2013536.8200000606"
"valinhos","SP","18462","2007163.2700000461"
"cabo frio","RJ","14750","1994004.8700000627"
"são josé dos campos","SP","19705","1965264.7800000594"
"joao monlevade","MG","16462","1964822.6600000337"
"formiga","MG","15130","1961533.300000069"
"chapeco","SC","15900","1956412.940000073"
"guaxupe","MG","13120","1945974.3999999927"
"palmas","TO","11376","1937751.7500000296"
"mongagua","SP","16422","1916208.2100000433"
"lins","SP","13139","1914019.5199999795"
"ribeirão preto","SP","17186","1907374.9500000598"
"pedro leopoldo","MG","18800","1901435.759999882"
"batatais","SP","10509","1889857.2000000298"
"sao miguel do oeste","SC","14736","1889806.0400000368"
"natal","RN","11879","1821437.360000024"
"itaquaquecetuba","SP","15676","1812890.4900000584"
"sao jose do rio pardo","SP","18003","1802502.720000031"
"lucas do rio verde","MT","9270","1794597.8399999891"
"bage","RS","8705","1778364.410000046"
"caldas novas","GO","14070","1776046.0500000601"
"braganca paulista","SP","14030","1769046.2300000424"
"ilhabela","SP","26550","1745014.6800000668"
"ouro branco","MG","17640","1732338.1600000318"
"lajeado","RS","11989","1725393.7000000477"
"feira de santana","BA","11245","1719111.6300000278"
"dracena","SP","14364","1715382.9000000218"
"jacobina","BA","5712","1684959.0799999957"
"botucatu","SP","11870","1684821.9500000416"
"bom despacho","MG","15437","1680310.2700000457"
"andradina","SP","12278","1667430.3700000332"
"barretos","SP","16237","1667396.41000005"
"vitória","ES","14134","1661378.4600000312"
"adamantina","SP","11572","1651582.8400000639"
"osorio","RS","10824","1650327.3600000266"
"santa cruz do sul","RS","10666","1643848.5800000334"
"sao joao de meriti","RJ","13093","1636541.0400000224"
"sao sebastiao do paraiso","MG","12580","1632017.0000000428"
"nilopolis","RJ","14301","1627614.860000032"
"olimpia","SP","11357","1623923.580000057"
"sorriso","MT","11875","1587806.2500000289"
"novo hamburgo","RS","9752","1582255.7500000247"
"itu","SP","18451","1569194.1900000474"
"campos do jordao","SP","12798","1551402.0000000356"
"arraial do cabo","RJ","11466","1539939.659999995"
"barra mansa","RJ","9676","1533596.7600000177"
"montenegro","RS","10574","1527196.6000000215"
"vitoria da conquista","BA","8359","1526252.300000011"
"capivari","SP","11235","1525764.3600000474"
"taquaritinga","SP","12177","1515305.8500000164"
"mauá","SP","11972","1511027.3600000134"
"ponta grossa","PR","12718","1508074.0400000317"
"para de minas","MG","8195","1494202.4100000109"
"amparo","SP","9711","1482299.100000025"
"parauapebas","PA","12244","1473624.8200000436"
"campo bom","RS","14028","1467833.1399999114"
"rio bonito","RJ","9810","1439457.2700000084"
"piraju","SP","7175","1422079.2599999758"
"arcos","MG","7308","1407241.5300000182"
"uba","MG","15275","1404297.2900000487"
"tres coracoes","MG","16221","1397978.9400000577"
"capao da canoa","RS","13320","1388858.6400000327"
"linhares","ES","8824","1386579.9600000044"
"guanambi","BA","12080","1386050.1400000595"
"teresopolis","RJ","10173","1382320.2800000168"
"salto","SP","12971","1373087.920000027"
"rio branco","AC","7811","1371712.5600000105"
"santo antonio de padua","RJ","9766","1370036.1600000095"
"pato branco","PR","10164","1353968.1000000206"
"aracatuba","SP","12150","1350777.4800000389"
"coronel fabriciano","MG","13461","1347940.100000016"
"teofilo otoni","MG","16123","1341273.6000000103"
"erechim","RS","12554","1334435.5400000212"
"sao joao da boa vista","SP","11175","1323088.2200000237"
"tubarao","SC","7215","1319733.1300000043"
"tremembe","SP","10760","1311652.0699999516"
"jacarei","SP","15346","1311640.3800000532"
"valenca","BA","7363","1268344.41000003"
"santa fe do sul","SP","11095","1266310.3900000271"
"itapetininga","SP","10584","1258031.3400000164"
"sao lourenco","MG","11583","1254198.3300000045"
"vassouras","RJ","12834","1253212.2000000281"
"muriae","MG","7259","1250815.5800000087"
"itanhaém","SP","12614","1250242.5599999977"
"barreiras","BA","7192","1249713.670000014"
"angra dos reis","RJ","6840","1244208.320000002"
"cosmopolis","SP","11781","1244173.5099999993"
"balneário camboriú","SC","9044","1243706.7300000105"
"uniao da vitoria","PR","10801","1239868.849999995"
"sao joaquim da barra","SP","11808","1239117.1199999976"
"sao jose dos pinhais","PR","11870","1239061.5000000214"
"santa rita do sapucai","MG","11932","1227959.8000000138"
"canoinhas","SC","7420","1214497.6500000022"
"criciuma","SC","7952","1210509.3500000108"
"gramado","RS","12160","1206971.2000000323"
"poços de caldas","MG","11097","1205858.5300000028"
"cerquilho","SP","12740","1201167.240000011"
"ituverava","SP","10778","1199442.4100000104"
"lauro de freitas","BA","12570","1199372.9900000305"
"porto feliz","SP","10010","1196953.4500000048"
"congonhas","MG","14245","1196014.2700000256"
"pedreira","SP","15912","1180588.800000025"
"barra bonita","SP","9152","1179014.980000028"
"valenca","RJ","8955","1176725.1600000437"
"caceres","MT","7657","1173296.9299999936"
"carangola","MG","8160","1170960.0000000014"
"tiete","SP","12926","1164132.420000016"
"araguari","MG","7088","1157622.480000007"
"goiânia","GO","7689","1149139.9600000014"
"aparecida","SP","7525","1126028.960000016"
"caieiras","SP","9585","1122238.3300000124"
"votuporanga","SP","9982","1108673.030000053"
"são caetano do sul","SP","10519","1106563.9000000036"
"navegantes","SC","5337","1106036.3000000003"
"presidente venceslau","SP","10166","1103875.1100000201"
"cachoeiro de itapemirim","ES","8646","1098957.4600000014"
"xanxere","SC","9205","1098253.8100000054"
"extrema","MG","10492","1096055.3200000138"
"timoteo","MG","9887","1095000.950000006"
"paranagua","PR","7565","1086689.2000000055"
"joacaba","SC","6156","1076387.999999995"
"cariacica","ES","8627","1076360.2100000016"
"armacao dos buzios","RJ","6600","1064007.9999999928"
"santa barbara","MG","6417","1059469.47"
"orlandia","SP","9432","1055157.8400000138"
"simoes filho","BA","5625","1051083.0000000116"
"assis","SP","8081","1050844.480000022"
"mogi mirim","SP","10643","1050787.309999992"
"promissao","SP","7680","1048764.0000000044"
"são josé do rio preto","SP","8454","1044483.1800000018"
"guarapari","ES","5964","1035011.8700000095"
"votorantim","SP","9468","1034415.1399999958"
"palhoca","SC","10505","1033158.1100000085"
"santa isabel","SP","11781","1026539.2200000506"
"parati","RJ","6771","1017566.0100000033"
"bento goncalves","RS","9375","1015448.7899999969"
"caraguatatuba","SP","9163","1002520.1600000003"
"marechal candido rondon","PR","9316","996965.439999999"
"timbo","SC","5522","993375.1699999995"
"varginha","MG","6688","987087.1799999997"
"panambi","RS","5111","979426.3099999982"
"monte carmelo","MG","7475","977469.8699999927"
"tangara da serra","MT","5880","972796.9999999959"
"diamantina","MG","11629","972136.280000037"
"vinhedo","SP","11097","969417.4899999946"
"monte mor","SP","8904","963506.0799999967"
"resende","RJ","10249","959577.2599999962"
"mage","RJ","8625","959432.0600000028"
"campina grande","PB","4066","953292.7600000023"
"belém","PA","5287","953116.7099999978"
"viçosa","MG","6118","952966.600000001"
"tatui","SP","6855","949113.8099999973"
"imbituba","SC","8892","948072.4499999993"
